Domain,RiskType
gmail.com,Personal webmail
outlook.com,Personal webmail
hotmail.com,Personal webmail
yahoo.com,Personal webmail
icloud.com,Personal webmail
proton.me,Personal webmail
protonmail.com,Personal webmail
